true ang,predicted ang
-0.001366842192167395,-0.0012716752529870448
-0.001290203487701021,-0.00129347324383925
-0.0003561212975701185,-0.0007227572447002374
-0.0007235649173026333,-0.0006985842262917806
-0.0007995748344111593,-0.0007522656075738497
-0.001294090029312587,-0.0009502632479471973
-0.001387189986975145,-0.001523534197950601
-0.001166135816132729,-0.0008152168283283816
-0.0007283275241831409,-0.0007330568038850031
-0.00097108362274069,-0.0014866854760420707
-0.001172226063057035,-0.0012662023731879605
-0.0008660932522252962,-0.0007679244610585017
-0.001626756863521948,-0.0013867394219761234
-0.0007964824247257862,-0.000854995089989159
-0.0009195541078143568,-0.0013697432933253788
-0.0004496070631147463,-0.0006532739564616
-0.000724137832229094,-0.0004222108062459892
-0.0007673402259012761,-0.0005654677008131485
-0.0007068161120460174,-0.0006473852993929543
-0.0006889944425105024,-0.0007105845932287558
-0.0007921055039843872,-0.0007127326422052478
-0.0007556853337725223,-0.0008162044388646932
-0.000635557987519726,-0.00046040575040854487
-0.0007487998550638401,-0.0012589026206881256
-0.0007705806426628971,-0.000397420214858241
-0.0006112820833963752,-0.0007541989827553114
-0.0004928018122899407,-0.0005420123314019695
-0.0004386197641139221,-0.00047918141074375614
-0.001550028012676758,-0.0010422147789887716
-0.001279783691997114,-0.0013005521805410619
-0.0003787658703998246,-0.0006313444600916635
-0.0007081740100730587,-0.0007013123780540202
